id,partido_id,dorsal,titular,min_entra,min_sale,asistencias,amarillas,rojas
1,1,1,true,0,90,0,0,0
2,1,2,true,0,60,0,0,0
3,1,3,false,60,90,0,0,0
4,1,4,true,0,90,0,0,0
5,1,5,true,0,90,0,0,0
6,1,6,true,0,90,0,0,0
7,1,8,true,0,90,0,0,0
8,1,9,false,78,90,0,0,0
9,1,10,true,0,90,0,0,0
10,1,12,false,78,90,0,0,0
11,1,15,true,0,90,0,0,0
12,1,16,true,0,82,0,0,0
13,1,17,true,0,78,0,0,0
14,1,18,true,0,78,0,0,0
15,1,20,false,82,90,0,0,0
16,6,3,true,0,90,0,0,0
17,6,4,true,0,90,0,0,0
18,6,5,true,0,75,0,0,0
19,6,6,false,82,90,0,0,0
20,6,7,true,0,72,0,0,0
21,6,8,true,0,90,0,0,0
22,6,11,true,0,90,0,0,0
23,6,13,true,0,90,0,0,0
24,6,14,false,72,90,0,0,0
25,6,16,true,0,60,0,1,0
26,6,18,true,0,82,0,0,0
27,6,19,false,75,90,0,0,0
28,6,20,true,0,90,0,0,0
29,6,21,true,0,90,0,0,0
30,6,23,false,60,90,0,1,0
31,11,1,true,0,90,0,0,0
32,11,3,true,0,90,0,1,0
33,11,4,true,0,90,0,0,0
34,11,5,true,0,78,0,0,0
35,11,7,false,78,90,0,0,0
36,11,8,true,0,90,1,1,0
37,11,10,false,68,90,0,0,0
38,11,11,true,0,90,1,0,0
39,11,14,true,0,90,0,0,0
40,11,15,true,0,90,0,0,0
41,11,17,true,0,90,0,0,0
42,11,18,true,0,75,0,0,0
43,11,20,false,75,90,0,0,0
44,11,23,true,0,68,0,0,0
45,16,3,true,0,78,0,0,0
46,16,5,true,0,90,0,0,0
47,16,6,false,78,90,0,1,0
48,16,8,true,0,90,0,0,0
49,16,9,true,0,90,0,0,0
50,16,10,true,0,90,0,0,0
51,16,12,true,0,82,0,0,0
52,16,13,true,0,90,0,0,0
53,16,14,true,0,90,0,0,0
54,16,15,true,0,90,0,0,0
55,16,16,true,0,90,0,0,0
56,16,20,false,78,90,0,0,0
57,16,22,false,82,90,0,0,0
58,16,23,true,0,78,0,0,0
59,21,1,true,0,90,0,0,0
60,21,2,true,0,90,0,0,0
61,21,3,true,0,90,0,0,0
62,21,4,true,0,90,0,0,0
63,21,5,false,75,90,0,0,0
64,21,6,false,78,90,0,0,0
65,21,8,true,0,90,1,0,0
66,21,9,true,0,78,0,0,0
67,21,12,true,0,75,0,0,0
68,21,14,true,0,90,0,0,0
69,21,18,true,0,78,0,0,0
70,21,19,false,78,90,0,0,0
71,21,20,true,0,90,0,0,0
72,21,22,true,0,90,0,0,0
73,26,2,true,0,90,0,1,0
74,26,4,true,0,90,0,0,0
75,26,5,true,0,72,0,0,0
76,26,6,true,0,78,0,0,0
77,26,7,false,78,90,0,0,0
78,26,8,true,0,90,1,0,0
79,26,9,true,0,80,0,0,0
80,26,10,true,0,90,0,0,0
81,26,11,false,72,90,0,0,0
82,26,12,false,80,90,0,0,0
83,26,13,true,0,90,0,0,0
84,26,14,true,0,90,0,0,0
85,26,15,true,0,90,0,1,0
86,26,16,true,0,82,0,0,0
87,26,19,false,82,90,0,0,0
88,31,1,true,0,90,0,0,0
89,31,2,true,0,90,0,0,0
90,31,3,true,0,90,0,0,0
91,31,4,true,0,90,0,0,0
92,31,5,false,60,90,0,0,0
93,31,6,true,0,90,0,0,0
94,31,7,false,55,90,0,0,0
95,31,8,true,0,90,0,0,0
96,31,9,true,0,55,0,1,0
97,31,14,true,0,90,0,0,0
98,31,15,true,0,60,0,0,0
99,31,16,true,0,72,1,0,0
100,31,17,true,0,90,0,0,0
101,31,19,false,72,90,0,0,0
102,36,2,true,0,90,0,1,0
103,36,3,true,0,63,0,0,0
104,36,4,true,0,90,0,0,0
105,36,5,false,63,90,0,0,0
106,36,6,true,0,90,0,1,0
107,36,8,true,0,90,0,0,0
108,36,9,true,0,90,0,0,0
109,36,10,true,0,90,0,0,0
110,36,13,true,0,90,0,0,0
111,36,16,true,0,55,0,0,0
112,36,18,false,55,90,0,0,0
113,36,20,true,0,60,0,0,0
114,36,21,true,0,90,0,0,0
115,36,23,false,60,90,0,0,0
116,41,1,true,0,90,0,0,0
117,41,2,true,0,80,0,0,0
118,41,4,true,0,90,0,0,0
119,41,5,true,0,90,0,0,0
120,41,6,false,75,90,0,0,0
121,41,7,false,80,90,0,0,0
122,41,8,true,0,90,0,0,0
123,41,9,true,0,90,0,0,0
124,41,14,true,0,60,0,0,0
125,41,15,true,0,63,0,0,0
126,41,16,false,60,90,0,0,0
127,41,18,true,0,90,0,0,0
128,41,19,true,0,90,0,0,0
129,41,21,false,63,90,0,0,0
130,41,23,true,0,75,0,0,0
131,46,2,true,0,82,0,0,0
132,46,3,true,0,82,0,0,0
133,46,4,true,0,90,0,0,0
134,46,5,true,0,90,0,0,0
135,46,6,true,0,90,0,0,0
136,46,7,false,82,90,0,0,0
137,46,8,true,0,90,0,0,0
138,46,9,true,0,90,1,1,0
139,46,10,false,82,90,0,1,0
140,46,11,true,0,72,0,0,0
141,46,13,true,0,90,0,0,0
142,46,14,true,0,90,0,0,0
143,46,17,false,72,90,0,0,0
144,46,18,true,0,90,0,0,0
145,51,1,true,0,90,0,0,0
146,51,2,false,70,90,0,0,0
147,51,3,false,72,90,0,0,0
148,51,4,true,0,90,0,0,0
149,51,5,true,0,70,0,0,0
150,51,6,true,0,90,0,0,0
151,51,7,true,0,70,0,0,0
152,51,8,true,0,90,0,0,0
153,51,9,true,0,90,0,0,0
154,51,10,false,63,90,0,0,0
155,51,12,true,0,72,0,0,0
156,51,15,true,0,90,0,0,0
157,51,16,true,0,90,0,0,0
158,51,19,false,70,90,0,1,0
159,51,20,true,0,63,0,0,0
160,56,1,true,0,90,0,0,0
161,56,2,true,0,78,0,0,0
162,56,3,true,0,90,0,0,0
163,56,4,false,82,90,0,0,0
164,56,5,true,0,90,0,0,0
165,56,6,true,0,82,0,0,0
166,56,8,true,0,90,0,0,0
167,56,9,false,78,90,0,0,0
168,56,10,false,60,90,0,1,0
169,56,11,true,0,90,0,0,0
170,56,14,true,0,60,0,0,0
171,56,15,true,0,90,0,0,0
172,56,16,false,82,90,0,0,0
173,56,20,true,0,82,0,0,0
174,56,22,true,0,90,0,1,0
175,61,1,true,0,90,0,0,0
176,61,2,true,0,75,0,0,0
177,61,3,true,0,90,0,0,0
178,61,4,true,0,90,0,0,0
179,61,6,false,75,90,0,0,0
180,61,8,true,0,90,0,0,0
181,61,9,false,55,90,0,0,0
182,61,11,true,0,80,0,0,0
183,61,14,true,0,90,0,0,0
184,61,15,true,0,55,0,0,0
185,61,17,true,0,90,0,0,0
186,61,18,true,0,90,0,0,0
187,61,20,true,0,90,0,0,0
188,61,22,false,80,90,0,0,0
189,66,1,true,0,90,0,0,0
190,66,2,true,0,90,0,0,0
191,66,3,true,0,90,0,0,0
192,66,4,true,0,70,0,0,0
193,66,7,true,0,90,0,0,0
